LS360,LS370,LS380,LS390,LS400,LS410,LS420,LS430,LS440,LS450,LS460,LS470,LS480,LS490,LS500,LS510,LS520,LS530,LS540,LS550,LS560,LS570,LS580,LS590,LS600,LS610,LS620,LS630,LS640,LS650,LS660,LS670,LS680,LS690,LS700,D31,D32,D33,D58,D100,D107,D110,D120,D128,D150,D160,D161,D162,D170,D180,D200,D202,D210,D220,D221,D260,D300,D301,D302,D303,D304,D306,D307,D308,D310,D311,D312,D314,D316,D317,D318,D320,D321,D324,D326,D327,D328,D350,D351,D355,D357,D358,D359,D360,D361,D362,D363,D366,D367,D368,D370,D372,D376,D377,D378,D380,D500,D501,D503,D504,D506,D508,D510,D511,D514,D516,D520,D524,D526,D527,D530,D551,D555,D560,D561,D565,D570,D575,D576,D580,D581,D980
36.07,37.903,38.57,38.914,38.996,38.872,38.62,38.625,38.706,39.226,40.382,41.479,42.517,43.54,44.622,45.23,45.492,45.772,45.739,45.513,45.409,45.947,47.533,48.739,49.174,49.024,48.701,48.787,50.025,52.863,57.099,62.03,68.18,71.289,75.311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0.0031,0,0,0,0,0,0.0118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246,0,0,0,0,0.014,0,0,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0
36.07,37.903,38.57,38.914,38.996,38.872,38.62,38.625,38.706,39.226,40.382,41.479,42.517,43.54,44.622,45.23,45.492,45.772,45.739,45.513,45.409,45.947,47.533,48.739,49.174,49.024,48.701,48.787,50.025,52.863,57.099,62.03,68.18,71.289,75.311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0.0031,0,0,0,0,0,0.0118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246,0,0,0,0,0.014,0,0,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0
6.91,6.529,5.921,5.468,5.042,4.619,4.336,4.045,3.864,3.759,3.824,3.989,4.289,4.764,5.403,5.845,6.015,6.001,5.857,5.591,5.276,5.086,4.994,5.015,5.163,5.381,5.635,5.916,6.319,7.272,9.203,12.476,18.684,24.208,32.543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0.0178,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.765,0,0,0,0,0.15,0,0,0.818,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.912,2.679,2.313,2.115,2.033,1.966,1.953,1.933,1.903,1.885,1.873,1.863,1.852,1.858,1.86,1.842,1.834,1.817,1.805,1.78,1.726,1.653,1.631,1.624,1.63,1.649,1.692,1.766,1.897,2.181,2.476,3.577,7.355,11.148,17.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,3.6,0,0
2.912,2.679,2.313,2.115,2.033,1.966,1.953,1.933,1.903,1.885,1.873,1.863,1.852,1.858,1.86,1.842,1.834,1.817,1.805,1.78,1.726,1.653,1.631,1.624,1.63,1.649,1.692,1.766,1.897,2.181,2.476,3.577,7.355,11.148,17.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,3.6,0,0
49.726,51.069,52.231,54.19,56.645,59.966,62.291,63.966,64.855,64.972,64.006,62.462,59.871,57.533,55.311,52.582,50.218,48.472,47.027,45.342,43.758,43.065,42.671,41.94,41.106,40.266,39.117,37.931,37.436,37.969,40.121,43.852,50.096,55.244,63.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0.02,0.0115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.271,2,1.826,1.756,1.708,1.667,1.647,1.605,1.598,1.589,1.594,1.592,1.585,1.594,1.574,1.56,1.573,1.568,1.557,1.566,1.528,1.459,1.453,1.463,1.472,1.489,1.516,1.549,1.617,1.802,2.213,3.094,5.739,9.193,14.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047,0,0,0,0,0,0,0,0.0022,0,0,0,0,0,0,0.0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046,0,0,0,0,0,0.028,0,0,0,0.0315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.392,51.376,51.018,50.814,50.529,50.428,50.326,50.527,50.648,51.195,51.846,52.32,52.334,52.228,52.054,51.644,50.857,50.343,49.735,48.639,47.761,48.209,49.475,50.188,50.306,50.228,50.095,50.084,50.908,53.326,57.504,62.882,69.94,73.697,78.311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0.0012,0,0,0,0,0,0,0.0023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.012,0,0,0.0255,0,0,0,0,0,0,0,0,0,0,0,0,0
20.311,20.729,21.04,22.289,24.596,28.173,32.05,35.901,38.743,39.222,37.016,33.969,29.946,26.511,23.506,20.368,17.857,16.047,14.442,12.945,11.998,11.548,11.221,11.025,11.006,11.135,11.228,11.411,11.814,13.203,15.466,20.117,29.706,35.736,45.334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.657,9.353,8.629,8.154,7.945,7.77,7.64,7.464,7.314,7.291,7.346,7.442,7.581,7.804,8.184,8.521,8.834,9.055,9.112,9.057,9.036,9.132,9.389,9.587,9.745,9.735,9.648,9.705,10.315,11.763,13.815,17.63,25.776,31.239,39.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0.0275,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0.165,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.718,2.72,2.572,2.52,2.51,2.471,2.468,2.454,2.429,2.424,2.428,2.411,2.371,2.316,2.229,2.123,2.023,1.942,1.865,1.804,1.743,1.681,1.662,1.665,1.671,1.675,1.698,1.751,1.856,2.09,2.349,3.252,5.899,8.353,12.387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0.88,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.003,2.996,2.852,2.836,2.863,2.844,2.83,2.768,2.69,2.646,2.621,2.584,2.538,2.486,2.4,2.264,2.105,1.98,1.868,1.787,1.706,1.637,1.616,1.613,1.622,1.652,1.695,1.756,1.863,2.131,2.419,3.532,7.197,10.776,16.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0.65,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,11.555,11.443,11.499,11.584,11.738,12.113,12.501,12.835,13.01,13.148,13.279,13.175,12.89,12.593,12.211,11.47,10.989,11.163,11.835,12.105,12.191,12.133,12.032,12.139,12.603,14.308,17.686,22.806,31.079,37.553,47.361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0.046,0,0,0,0,0,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422,0,0,0,0,0.15,0,0,0.388,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,11.555,11.443,11.499,11.584,11.738,12.113,12.501,12.835,13.01,13.148,13.279,13.175,12.89,12.593,12.211,11.47,10.989,11.163,11.835,12.105,12.191,12.133,12.032,12.139,12.603,14.308,17.686,22.806,31.079,37.553,47.361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0.046,0,0,0,0,0,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418,0,0,0,0,0.15,0,0,0.382,0,0,0,0,0,0,0,0,0,0,0,0,0
18.726,18.132,17.677,17.378,17.091,16.495,16.068,15.916,15.934,16.476,17.43,18.344,19.25,20.163,21.122,21.611,21.832,22.103,22.056,21.704,21.68,22.4,24.342,25.902,26.54,26.441,26.017,26.122,27.433,30.399,34.355,40.722,50.888,55.332,61.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0,0,0,0,0,0,0.03,0,0,0,0,0,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161,0,0,0,0,0.093,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0
3.566,3.775,3.904,3.942,3.892,3.803,3.675,3.498,3.338,3.074,2.784,2.444,2.143,1.899,1.737,1.62,1.565,1.555,1.588,1.607,1.666,1.871,3.1,6.792,14.883,27.356,39.431,49.593,56.513,61.055,63.596,64.724,66.13,68.455,71.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,1.3,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.462,1.376,1.279,1.218,1.146,1.075,1.062,1.052,1.043,1.031,1.029,1.034,1.029,1.036,1.021,0.994,1.008,1.013,1.039,1.038,1.022,0.979,0.988,0.992,1,1.01,1.032,1.041,1.042,1.036,1.032,1.159,1.506,2.237,3.593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,4,0,0
3.925,3.566,3.211,3.109,2.974,2.853,2.772,2.731,2.75,2.834,2.973,3.11,3.233,3.337,3.42,3.439,3.45,3.449,3.386,3.314,3.28,3.406,3.771,4.131,4.296,4.34,4.363,4.462,4.718,5.446,6.988,9.416,14.344,18.568,25.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083,0,0,0,0,0,0,0,0,0.115,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.32,4.121,4.005,4.117,4.241,4.342,4.43,4.463,4.373,4.162,3.749,3.315,2.959,2.684,2.481,2.361,2.33,2.351,2.397,2.461,2.625,3.241,5.565,11.391,22.514,37.311,51.138,62.824,70.865,75.773,78.724,79.702,80.785,80.4,80.02,0,0,0,0,0.001,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.687,8.16,7.437,6.871,6.348,5.861,5.489,5.268,5.156,5.129,5.207,5.332,5.481,5.759,6.163,6.78,7.4,7.856,8.031,7.951,7.696,7.508,7.382,7.235,7.119,7.027,6.996,7.121,7.573,8.653,10.885,14.36,20.346,25.305,32.801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0.14,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0.06,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.74,23.374,23.097,22.615,22.098,21.419,20.685,20.056,19.51,19.296,19.347,19.595,20.066,20.801,21.711,22.256,22.366,22.262,21.958,21.359,20.717,20.739,20.923,21.347,21.838,22.386,22.754,23.167,24.201,26.45,30.532,36.405,45.386,51.591,60.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,0,0,0,0,0,0,0.0105,0,0,0,0,0,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132,0,0,0,0,0.05,0,0,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.74,23.374,23.097,22.615,22.098,21.419,20.685,20.056,19.51,19.296,19.347,19.595,20.066,20.801,21.711,22.256,22.366,22.262,21.958,21.359,20.717,20.739,20.923,21.347,21.838,22.386,22.754,23.167,24.201,26.45,30.532,36.405,45.386,51.591,60.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.011,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132,0,0,0,0,0.05,0,0,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.74,23.374,23.097,22.615,22.098,21.419,20.685,20.056,19.51,19.296,19.347,19.595,20.066,20.801,21.711,22.256,22.366,22.262,21.958,21.359,20.717,20.739,20.923,21.347,21.838,22.386,22.754,23.167,24.201,26.45,30.532,36.405,45.386,51.591,60.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.0107,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132,0,0,0,0,0.05,0,0,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.657,9.353,8.629,8.154,7.945,7.77,7.64,7.464,7.314,7.291,7.346,7.442,7.581,7.804,8.184,8.521,8.834,9.055,9.112,9.057,9.036,9.132,9.389,9.587,9.745,9.735,9.648,9.705,10.315,11.763,13.815,17.63,25.776,31.239,39.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0.0338,0,0,0,0,0,0.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.475,0,0,0,0,0.179,0,0,0.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.657,9.353,8.629,8.154,7.945,7.77,7.64,7.464,7.314,7.291,7.346,7.442,7.581,7.804,8.184,8.521,8.834,9.055,9.112,9.057,9.036,9.132,9.389,9.587,9.745,9.735,9.648,9.705,10.315,11.763,13.815,17.63,25.776,31.239,39.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0.0338,0,0,0,0,0,0.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.216,0,0,0.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.657,9.353,8.629,8.154,7.945,7.77,7.64,7.464,7.314,7.291,7.346,7.442,7.581,7.804,8.184,8.521,8.834,9.055,9.112,9.057,9.036,9.132,9.389,9.587,9.745,9.735,9.648,9.705,10.315,11.763,13.815,17.63,25.776,31.239,39.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0.0338,0,0,0,0,0,0.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.216,0,0,0.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.657,9.353,8.629,8.154,7.945,7.77,7.64,7.464,7.314,7.291,7.346,7.442,7.581,7.804,8.184,8.521,8.834,9.055,9.112,9.057,9.036,9.132,9.389,9.587,9.745,9.735,9.648,9.705,10.315,11.763,13.815,17.63,25.776,31.239,39.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0.0338,0,0,0,0,0,0.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.216,0,0,0.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.657,9.353,8.629,8.154,7.945,7.77,7.64,7.464,7.314,7.291,7.346,7.442,7.581,7.804,8.184,8.521,8.834,9.055,9.112,9.057,9.036,9.132,9.389,9.587,9.745,9.735,9.648,9.705,10.315,11.763,13.815,17.63,25.776,31.239,39.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0.0338,0,0,0,0,0,0.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.21,0,0,0.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.657,9.353,8.629,8.154,7.945,7.77,7.64,7.464,7.314,7.291,7.346,7.442,7.581,7.804,8.184,8.521,8.834,9.055,9.112,9.057,9.036,9.132,9.389,9.587,9.745,9.735,9.648,9.705,10.315,11.763,13.815,17.63,25.776,31.239,39.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0.0338,0,0,0,0,0,0.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.216,0,0,0.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.657,9.353,8.629,8.154,7.945,7.77,7.64,7.464,7.314,7.291,7.346,7.442,7.581,7.804,8.184,8.521,8.834,9.055,9.112,9.057,9.036,9.132,9.389,9.587,9.745,9.735,9.648,9.705,10.315,11.763,13.815,17.63,25.776,31.239,39.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133,0,0,0,0,0,0,0.0315,0,0,0,0,0,0.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0.17,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.016,3.806,3.579,3.449,3.343,3.244,3.179,3.106,3.112,3.165,3.223,3.236,3.171,3.09,2.951,2.811,2.652,2.516,2.345,2.237,2.108,2.033,2.038,2.057,2.06,2.055,2.069,2.11,2.234,2.55,3.091,4.245,7.206,10.508,16.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81,0,0,0,0,0,0.528,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.292,2.287,2.228,2.219,2.188,2.155,2.143,2.11,2.097,2.081,2.095,2.104,2.111,2.129,2.115,2.079,2.036,1.988,1.948,1.949,1.906,1.829,1.81,1.828,1.852,1.885,1.937,2.006,2.129,2.396,2.836,3.841,6.74,10.212,15.771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,3.2,0,0
2.292,2.287,2.228,2.219,2.188,2.155,2.143,2.11,2.097,2.081,2.095,2.104,2.111,2.129,2.115,2.079,2.036,1.988,1.948,1.949,1.906,1.829,1.81,1.828,1.852,1.885,1.937,2.006,2.129,2.396,2.836,3.841,6.74,10.212,15.771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,3.2,0,0
33.354,36.926,39.151,40.48,40.98,40.509,39.546,38.619,37.887,37.816,38.11,38.772,39.762,41.273,42.698,43.156,43.059,42.791,42.35,41.233,39.945,38.925,38.068,37.402,37.062,36.512,35.671,35.797,36.948,40.41,45.374,53.047,62.854,65.447,69.823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.0056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078,0,0,0,0,0.0105,0,0,0.0655,0,0,0,0,0,0,0,0,0,0,0,0,0
1.918,1.872,1.874,1.858,1.844,1.818,1.8,1.773,1.761,1.754,1.764,1.77,1.783,1.787,1.743,1.687,1.634,1.571,1.506,1.505,1.467,1.39,1.379,1.4,1.437,1.487,1.543,1.599,1.665,1.826,2.156,2.829,5.022,7.897,12.648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1.918,1.872,1.874,1.858,1.844,1.818,1.8,1.773,1.761,1.754,1.764,1.77,1.783,1.787,1.743,1.687,1.634,1.571,1.506,1.505,1.467,1.39,1.379,1.4,1.437,1.487,1.543,1.599,1.665,1.826,2.156,2.829,5.022,7.897,12.648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
5.254,5.165,4.883,4.739,4.694,4.673,4.687,4.691,4.68,4.628,4.548,4.368,4.116,3.825,3.603,3.335,3.101,2.855,2.685,2.504,2.344,2.276,2.276,2.304,2.343,2.38,2.451,2.536,2.685,3.048,3.847,5.521,9.358,13.631,20.813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0.065,0,0,0,0,0,0.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0.53,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.254,5.165,4.883,4.739,4.694,4.673,4.687,4.691,4.68,4.628,4.548,4.368,4.116,3.825,3.603,3.335,3.101,2.855,2.685,2.504,2.344,2.276,2.276,2.304,2.343,2.38,2.451,2.536,2.685,3.048,3.847,5.521,9.358,13.631,20.813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0.065,0,0,0,0,0,0.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0.54,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.845,1.79,1.716,1.693,1.666,1.614,1.587,1.566,1.547,1.529,1.522,1.526,1.532,1.544,1.538,1.511,1.504,1.483,1.48,1.467,1.441,1.384,1.384,1.392,1.404,1.422,1.457,1.497,1.552,1.662,1.908,2.178,4.684,7.767,12.823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0.57,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0
1.845,1.79,1.716,1.693,1.666,1.614,1.587,1.566,1.547,1.529,1.522,1.526,1.532,1.544,1.538,1.511,1.504,1.483,1.48,1.467,1.441,1.384,1.384,1.392,1.404,1.422,1.457,1.497,1.552,1.662,1.908,2.178,4.684,7.767,12.823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0.57,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0
1.94,1.864,1.752,1.697,1.645,1.594,1.582,1.573,1.552,1.546,1.543,1.547,1.551,1.561,1.555,1.538,1.546,1.536,1.537,1.534,1.503,1.44,1.423,1.426,1.439,1.466,1.502,1.553,1.637,1.782,2.025,2.584,5.351,8.609,13.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0.21,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,3.72,0,0
